Clock Time (sec),Sim Clock Time (sec)
69.265070616,54.0
69.315070617,54.05
69.365070618,54.1
69.415070618,54.15
69.465070619,54.2
69.51507062,54.25
69.565070621,54.3
69.615070621,54.35
69.665070622,54.4
69.715070623,54.45
69.815070624,54.5
69.815070624,54.55
69.865070625,54.6
69.915070626,54.65
69.965070627,54.7
70.015070627,54.75
70.065070628,54.8
70.115070629,54.85
70.16507063,54.9
70.21507063,54.95
